#name,strength,airport,city,country,description,type,latitude,longitude,,
The Ritz-Carlton Cleveland,,CLE,,US,Ritz-Carlton,Luxury Hotel,,,,
JW Marriott Charlotte,,CLT,,US,JW Marriott,Luxury Hotel,,,,
The Ritz-Carlton Charlotte,,CLT,,US,Ritz-Carlton,Luxury Hotel,,,,
Rosewood Galle,,CMB,,LK,Rosewood Hotel,Luxury Hotel,,,,
Taj Bentota Resort & Spa,,CMB,Colombo,LK,,Luxury Hotel,,,,
Ceylon Tea Trails,,CMB,,LK,,Adventure Tourism,,,,
Shangri-La Hotel Colombo,,CMB,Colombo,LK,,6.9271,79.8612,,,
Courchevel,,CMF,,FR,,Ski Resort,,,,
Courchevel,,CMF,,FR,,Ski Resort,,,,
University of Illinois at Urbana-Champaign,,CMI,,US,,University,,,,
Four Seasons CASABLANCA,,CMN,,MA,Four Seasons,Luxury Hotel,,,,
Fasano Belo Horizonte,,CNF,,BR,,Luxury Hotel,,,,
Gilligan's Bar,,CNS,Queensland,AU,Dynamic hostel with 2 bars and attached nightclubs,Luxury Hotel,,,,
Lizard Island,,CNS,Queensland,AU,Upmarket nature retreat,Luxury Hotel,,,,
Great Barrier Reef,,CNS,,AU,,Adventure Tourism,,,,
Shangri-La Hotel The Marina,,CNS,Carnis,AU,,-16.9214,145.7728,,,
Four Seasons CHIANG MAI,,CNX,,TH,Four Seasons,Luxury Hotel,,,,
Kerala Backwaters,,COK,,IN,Cruise through serene backwaters on luxurious houseboats,Adventure Tourism,,,,
Royal Copenhagen,,CPH,Copenhagen,dk,Radisson Collection Hotel,Luxury Hotel,55.67492,12.5638132,,
Nyhavn,,CPH,,DK,,Elite residential,,,,
Hotel d'Angleterre,,CPH,,,,Luxury Hotel,,,,
Fresnaye,,CPT,Cape Town,ZA,,Elite residential,,,,
Clifton,,CPT,Cape Town,ZA,,Elite residential,,,,
 Nettleton Road,,CPT,Cape Town,ZA,,Elite residential,,,,
Mount Nelson,,CPT,,ZA,,Luxury Hotel,,,,
Belmond Mount Nelson Hotel,,CPT,Cape Town,ZA,,Luxury Hotel,,,,
The Silo Hotel,,CPT,,ZA,,Luxury Hotel,,,,
La Residence,,CPT,,ZA,,Luxury Hotel,,,,
Birkenhead House,,CPT,,ZA,,Luxury Hotel,,,,
Cape Grace,,CPT,,,Fairmont,Luxury Hotel,,,,
JW Marriott Hotel Changsha,,CSX,,CN,JW Marriott,Luxury Hotel,,,,
Meixi Lake Hotel,,CSX,,CN,Luxury Collection Hotels,Luxury Hotel,,,,
The St. Regis Changsha,,CSX,,CN,St. Regis,Luxury Hotel,,,,
Four Seasons TAORMINA,,CTA,,IT,Four Seasons,Luxury Hotel,,,,
Grand Hotel Timeo,,CTA,,IT,,Luxury Hotel,,,,
Belmond Villa Sant'Andrea,,CTA,Catania,IT,,Luxury Hotel,,,,
Belmond Grand Hotel Timeo,,CTA,Catania,IT,,Luxury Hotel,,,,
Cartagena,,CTG,,CO,A historic port city on Colombia's Caribbean coast,Elite residential,,,,
Sofitel Legend Santa Clara Cartagena,,CTG,Cartagena,CO,,Luxury Hotel,10.422,-75.5398,,
Niseko,,CTS,,JP,Elite ski destination on the island of Hokkaido renowned for its powder snow,Ski Resort,,,,
Higashiyama Niseko Village,,CTS,,JP,Ritz-Carlton,Luxury Hotel,,,,
Rosewood Niseko,,CTS,,JP,Rosewood Hotel,Luxury Hotel,,,,
Park Hyatt Niseko Hanazono,,CTS,Sapporo,JP,,Luxury Hotel,,,,
Shangri-La Chengdu,,CTU,Chengdu,CN,,30.7167,104.0667,,,
Etéreo,,CUN,,MX,Auberge Resorts,Luxury Hotel,,,,
The Riviera Maya at Kanai EDITION,,CUN,,MX,EDITION,Luxury Hotel,,,,
JW Marriott Cancun Resort & Spa,,CUN,,MX,JW Marriott,Luxury Hotel,,,,
One&Only,,CUN,,MK,One&Only,Luxury Hotel,,,,
Rosewood Riviera Maya,,CUN,,MX,Rosewood Hotel,Luxury Hotel,,,,
The St. Regis Kanai Resort Riviera Maya,,CUN,,MX,St. Regis,Luxury Hotel,,,,
Puerto Cancun,,CUN,Cancún,MX,,Elite residential,,,,
Maroma,,CUN,,MX,,Luxury Hotel,,,,
Waldorf Astoria Cancún,,CUN,Cancun,MX,,Luxury Hotel,,,,
Conrad Tulum Riviera Maya,,CUN,Cancún,MX,,Luxury Hotel,,,,
Belmond Maroma Resort & Spa,,CUN,Cancun,MX,,Luxury Hotel,,,,
Andaz Mayakoba Resort Riviera Maya,,CUN,Cancún,MX,,Luxury Hotel,,,,
Banyan Tree Mayakoba,,CUN,Cancun,MX,,Luxury Hotel,,,,
Fairmont Mayakoba,,CUN,Cancún,MX,,Luxury Hotel,20.6607,-87.0944,,
Chablé Maroma,,CUN,,,,Luxury Hotel,,,,
JW Marriott El Convento Cusco,,CUZ,,PE,JW Marriott,Luxury Hotel,,,,
Hiram Bingham,,CUZ,,PE,,Luxury Hotel,,,,
Monasterio,,CUZ,,PE,,Luxury Hotel,,,,
Palacio Nazarenas,,CUZ,,PE,,Luxury Hotel,,,,
Belmond Palacio Nazarenas,,CUZ,Cusco,PE,,Luxury Hotel,,,,
Belmond Hotel Monasterio,,CUZ,Cusco,PE,,Luxury Hotel,,,,
Belmond Sanctuary Lodge,,CUZ,Cusco,PE,,Luxury Hotel,,,,
Belmond Hotel Rio Sagrado Urubamba,,CUZ,Cusco,PE,,Luxury Hotel,,,,
Amanoi,,CXR,,VN,Aman resorts,Luxury Hotel,,,,
Rosewood Ninh Hải,,CXR,,VN,Rosewood Hotel,Luxury Hotel,,,,
Four Seasons HOI AN,,DAD,,VN,Four Seasons,Luxury Hotel,,,,
Six Senses VIETNAM,,DAD,,VN,Six Senses Resorts,Luxury Hotel,,,,
Bowie House,,DAL,Dallas,US,Auberge Resorts,Luxury Hotel,,,,
The Knox,,DAL,Dallas,US,Auberge Resorts,Luxury Hotel,,,,
The Ritz-Carlton Dallas,,DAL,Dallas,US,Ritz-Carlton,Luxury Hotel,,,,
Rosewood Dallas,,DAL,Dallas,US,Rosewood Hotel,Luxury Hotel,,,,
Dubrovnik Old Town,,DBV,,HR,,Elite residential,,,,
"Four Seasons WASHINGTON, DC",,DCA,Washington D.C.,US,Four Seasons,Luxury Hotel,,,,
JW Marriott Washington,,DCA,Washington D.C.,US,JW Marriott,Luxury Hotel,,,,
The Ritz-Carlton Georgetown,,DCA,Washington D.C.,US,Ritz-Carlton,Luxury Hotel,,,,
The Ritz-Carlton Washington,,DCA,Washington D.C.,US,Ritz-Carlton,Luxury Hotel,,,,
Rosewood Washington,,DCA,Washington D.C.,US,Rosewood Hotel,Luxury Hotel,,,,
The St. Regis Washington,,DCA,Washington D.C.,US,St. Regis,Luxury Hotel,,,,
US Capitol,2,DCA,Washington D.C.,US,,Elite Destination,,,,
John. F Kenedy Center for the Perfoming Arts,,DCA,Washington,US,,Elite Destination,,,,
Georgetown,,DCA,Washington D.C.,US,,Elite residential,,,,
"Waldorf Astoria Washington, D.C.",,DCA,"Washington, D.C.",US,,Luxury Hotel,,,,
Park Hyatt Washington D.C.,,DCA,Washington,US,,Luxury Hotel,,,,
Fairmont Washington D.C. Georgetown,,DCA,Washington D.C.,US,,Luxury Hotel,38.905,-77.0633,,
The Oberoi Cecil,,DED,,IN,The Oberoi,Luxury Hotel,,,,
Wildflower Hall,,DED,,IN,The Oberoi,Luxury Hotel,,,,
JW Marriott Hotel New Delhi Aerocity,,DEL,Delhi,IN,JW Marriott,Luxury Hotel,,,,
JW Marriott Mussoorie Walnut Grove Resort & Spa,,DEL,Delhi,IN,JW Marriott,Luxury Hotel,,,,
The Leela Palace,,DEL,,IN,"One of the most luxurious Indian hotels, located in the Diplomatic Area of the city",Luxury Hotel,,,,
Rosewood Alwar,,DEL,Delhi,IN,Rosewood Hotel,Luxury Hotel,,,,
Six Senses INDIA,,DEL,Delhi,IN,Six Senses Resorts,Luxury Hotel,,,,
The Oberoi,,DEL,Delhi,IN,The Oberoi,Luxury Hotel,,,,
The Imperial,,DEL,,IN,"Vintage hotel, built in 1936 during the British Raj, one of the first hotels in New Delhi, was the hotel where Gandhi, Nehru, Jinnah & Lord Mountbatten repeatedly met at to discuss the partition of India ",Luxury Hotel,,,,
Rashtrapati Bhavan,,DEL,Delhi,IN,,Elite Destination,,,,
Delhi,,DEL,Delhi,IN,,Elite residential,,,,
ITC Maurya,,DEL,,IN,,Luxury Hotel,,,,
ITC Sheraton Saket,,DEL,,IN,,Luxury Hotel,,,,
Le Meridien,,DEL,,IN,,Luxury Hotel,,,,
Andaz Apna Khet,,DEL,Delhi,IN,,Luxury Hotel,,,,
Andaz Delhi,,DEL,Delhi,IN,,Luxury Hotel,,,,
Taj Mahal Hotel New Delhi,,DEL,New Delhi,IN,,Luxury Hotel,28.6139,77.209,,
Taj Palace New Delhi,,DEL,New Delhi,IN,,Luxury Hotel,28.5714,77.1661,,
Shangri-La Eros New Delhi,,DEL,New Delhi,IN,,,28.6139,77.209,,
Four Seasons DENVER,,DEN,,US,Four Seasons,Luxury Hotel,,,,
Clayton Hotel & Members Club,,DEN,,US,MICHELIN One Key Hotel,Luxury Hotel,,,,
The Crawford Hotel,,DEN,,US,MICHELIN One Key Hotel,Luxury Hotel,,,,
The Ritz-Carlton Denver,,DEN,,US,Ritz-Carlton,Luxury Hotel,,,,
Everline Resort & Spa,,DEN,Denver,US,,Luxury Hotel,,,,
Cherry Hills Village,,DEN,Denver,US,,Elite residential,,,,
JW Marriott Dallas Arts District,,DFW,Dallas,US,JW Marriott,Luxury Hotel,,,,
Highland Park,,DFW,Dallas,US,,Elite residential,,,,
Shangri-La,,DIG,,CN,An exclusive Tibetan town in Yunnan Province,Adventure Tourism,,,,
Banyan Tree Ringha,,DIG,,CN,,Luxury Hotel,,,,
Shangri-La Resort,,DIG,Shangri-La,CN,,27.8319,99.7025,,,
Four Seasons DALIAN,,DLC,,CN,Four Seasons,Luxury Hotel,,,,
The Castle Hotel,,DLC,,CN,Luxury Collection Hotels,Luxury Hotel,,,,
Conrad Dalian,,DLC,Dalian,CN,,Luxury Hotel,,,,
Shangri-La Dalian,,DLC,Dalian,CN,,38.9141,121.6146,,,
Dalaman,,DLM,,TR,,Luxury Hotel,,,,
Dali,,DLU,Yunnan,CN,An ancient city in Yunnan Province,Elite residential,,,,
Hotel Metropol Moscow,,DME,Moscow,RU,,Luxury Hotel,55.7558,37.6173,,
The Gleneagles Hotel,,DND,,,,Luxury Hotel,,,,
Grand Hôtel Barrière,,DNR,,FR,,Luxury Hotel,,,,
The Doha EDITION,,DOH,,QA,EDITION,Luxury Hotel,,,,
Qatar GP,,DOH,,,Formula One race held at the Lusail International Circuit,Elite Destination,25.49,51.45417,,
Four Seasons DOHA,,DOH,,QA,Four Seasons,Luxury Hotel,,,,
Four Seasons DOHA (THE PEARL-QATAR),,DOH,,QA,Four Seasons,Luxury Hotel,,,,
JW Marriott Marquis City Center Doha,,DOH,,QA,JW Marriott,Luxury Hotel,,,,
Mandarin Oriental Doha,,DOH,,QA,Mandarin Oriental,Luxury Hotel,,,,
Sharq Village & Spa,,DOH,,QA,Ritz-Carlton,Luxury Hotel,,,,
The Ritz-Carlton Doha,,DOH,,QA,Ritz-Carlton,Luxury Hotel,,,,
The St. Regis Doha,,DOH,,QA,St. Regis,Luxury Hotel,,,,
The St. Regis Marsa Arabia Island,,DOH,,QA,St. Regis,Luxury Hotel,,,,
Waldorf Astoria Doha West Bay,,DOH,Doha,QA,,Luxury Hotel,,,,
Waldorf Astoria Lusail Doha,,DOH,Doha,QA,,Luxury Hotel,,,,
Banyan Tree Doha At La Cigale Mushaireb,,DOH,Doha,QA,,Luxury Hotel,,,,
Raffles Doha,,DOH,Doha,QA,,Luxury Hotel,,,,
Aman Villas at Nusa Dua,,DPS,,ID,Aman resorts,Luxury Hotel,,,,
Amandari,,DPS,,ID,Aman resorts,Luxury Hotel,,,,
Amankila,,DPS,,ID,Aman resorts,Luxury Hotel,,,,
Bulgari Resort Bali,,DPS,Bali,ID,Bulgari Hotel,Luxury Hotel,,,,
COMO Shambhala Estate,,DPS,Bali,ID,COMO,Luxury Hotel,,,,
COMO Uma Canggu,,DPS,Bali,ID,COMO,Luxury Hotel,,,,
Four Seasons BALI AT JIMBARAN BAY,,DPS,Bali,ID,Four Seasons,Luxury Hotel,,,,
Four Seasons BALI AT SAYAN,,DPS,Bali,ID,Four Seasons,Luxury Hotel,,,,
HOSHINOYA Bali,,DPS,Bali,ID,HOSHINOYA,Luxury Hotel,,,,
Mandapa,,DPS,Bali,ID,Ritz-Carlton,Luxury Hotel,,,,
The Ritz-Carlton Bali,,DPS,Bali,ID,Ritz-Carlton,Luxury Hotel,,,,
Rosewood Karangasem,,DPS,Bali,ID,Rosewood Hotel,Luxury Hotel,,,,
Rosewood Nusa Dua,,DPS,Bali,ID,Rosewood Hotel,Luxury Hotel,,,,
Rosewood Ubud,,DPS,Bali,ID,Rosewood Hotel,Luxury Hotel,,,,
Six Senses INDONESIA,,DPS,Bali,ID,Six Senses Resorts,Luxury Hotel,,,,
The St. Regis Bali Resort,,DPS,Bali,ID,St. Regis,Luxury Hotel,,,,
Jimbaran Puri,,DPS,Bali,ID,,Luxury Hotel,,,,
Waldorf Astoria Bali,,DPS,Denpasar,ID,,Luxury Hotel,,,,
Conrad Bali,,DPS,Denpasar,ID,,Luxury Hotel,,,,
Belmond Jimbaran Puri,,DPS,Denpasar,ID,,Luxury Hotel,,,,
Andaz Bali,,DPS,Denpasar,ID,,Luxury Hotel,,,,
Alila Villas Uluwatu,,DPS,,ID,,Luxury Hotel,,,,
Banyan Tree Escape,,DPS,,TH,,Luxury Hotel,,,,
Raffles Bali,,DPS,Denpasar,ID,,Luxury Hotel,,,,
Kakadu National Park,,DRW,,AU,,Adventure Tourism,,,,
Indian Village,,DTW,,US,Historic neighborhood with distinctive early 20th-century mansions and a strong sense of community.,Elite residential,,,,
University of Michigan,,DTW,,US,,University,,,,
The Shinola Hotel,,DTW,,US,,Luxury Hotel,,,,
Temple Bar,,DUB,,IE,,Elite residential,,,,
Shelbourne hotel,,DUB,,IE,,Luxury Hotel,,,,
Conrad Dublin,,DUB,Dublin,IE,,Luxury Hotel,,,,
Trinity College,,DUB,,IE,,University,,,,
The Merrion,,DUB,,,,Luxury Hotel,,,,
The Wellem,,DUS,,DE,Hyatt Unbound,Luxury Hotel,,,,
Breidenbacher Hof Düsseldorf,,DUS,,DE,,Luxury Hotel,,,,
Bulgari Resort Dubai,,DXB,,AE,Bulgari Hotel,Luxury Hotel,,,,
The Dubai EDITION,,DXB,Dubai,AE,EDITION,Luxury Hotel,,,,
Four Seasons DUBAI AT JUMEIRAH BEACH,,DXB,Dubai,AE,Four Seasons,Luxury Hotel,,,,
Four Seasons DUBAI INTERNATIONAL FINANCIAL CENTRE,,DXB,Dubai,AE,Four Seasons,Luxury Hotel,,,,
JW Marriott Hotel Marina,,DXB,Dubai,AE,JW Marriott,Luxury Hotel,,,,
JW Marriott Marquis Hotel Dubai,,DXB,Dubai,AE,JW Marriott,Luxury Hotel,,,,
Mandarin Oriental Dubai,,DXB,Dubai,AE,Mandarin Oriental,Luxury Hotel,,,,
One&Only Dubai,,DXB,Dubai,AE,One&Only,Luxury Hotel,,,,
The Ritz-Carlton Dubai,,DXB,Dubai,AE,Ritz-Carlton,Luxury Hotel,,,,
The Ritz-Carlton Dubai Financial Centre,,DXB,Dubai,AE,Ritz-Carlton,Luxury Hotel,,,,
The St. Regis Downtown Dubai,,DXB,Dubai,AE,St. Regis,Luxury Hotel,,,,
The St. Regis Dubai The Palm,,DXB,Dubai,AE,St. Regis,Luxury Hotel,,,,
Al Zorah,,DXB,Dubai,AE,The Oberoi,Luxury Hotel,,,,
Jumeirah Beach,,DXB,Dubai,AE,,Elite residential,,,,
Waldorf Astoria Dubai International Financial Centre,,DXB,Dubai,AE,,Luxury Hotel,,,,
Waldorf Astoria Dubai Palm Jumeirah,,DXB,Dubai,AE,,Luxury Hotel,,,,
Conrad Dubai,,DXB,Dubai,AE,,Luxury Hotel,,,,
Andaz Dubai The Palm,,DXB,Dubai,AE,,Luxury Hotel,,,,
Park Hyatt Dubai,,DXB,Dubai,AE,,Luxury Hotel,,,,
Raffles Dubai,,DXB,Dubai,AE,,Luxury Hotel,,,,
Raffles The Palm Dubai,,DXB,Dubai,AE,,Luxury Hotel,,,,
Jumeirah Burj Al Arab,,DXB,Dubai,AE,,Luxury Hotel,,,,
Shangri-La Dubai,,DXB,Dubai,AE,,,25.2528,55.3644,,
Zhangjiajie National Forest Park,,DYG,,CN,Hike through otherworldly sandstone pillars with upscale hotels offering breathtaking mountain views.,Adventure Tourism,,,,
Hotel Maria Cristina,,EAS,,ES,Luxury Collection Hotels,Luxury Hotel,,,,
Akelarre,,EAS,San Sebastian,ES,,Luxury Hotel,,,,
Queen Elizabeth National Park,,EBB,,UG,Track chimpanzees and gorillas in lush rainforests with high-end lodges boasting exceptional wildlife viewing.,Adventure Tourism,,,,
Royal Mile Edinburgh,,EDI,Edinburgh,gb,Radisson Collection Hotel,Luxury Hotel,55.9491768,3.19315743,,
The Balmoral,,EDI,Edinburgh,GB,Rocco Forte Hotel,Luxury Hotel,55.9533,-3.1883,,
Fairmont St Andrews,,EDI,,,,Luxury Hotel,,,,
Four Seasons VAIL,,EGE,,US,Four Seasons,Luxury Hotel,,,,
The Hythe,,EGE,,US,Luxury Collection Hotels,Luxury Hotel,,,,
The Ritz-Carlton Bachelor Gulch,,EGE,,US,Ritz-Carlton,Luxury Hotel,,,,
The Ritz-Carlton Club Vail,,EGE,,US,,Ski Resort,,,,
Vail,,EGE,,US,,Ski Resort,,,,
Vail Residences at Cascade Village,,EGE,Vail/Eagle,US,,Luxury Hotel,,,,
Park Hyatt Beaver Creek Resort and Spa,,EGE,Vail/Eagle,US,,Luxury Hotel,,,,
Rosewood British Virgin Islands,,EIS,,VG,Rosewood Hotel,Luxury Hotel,,,,
Tortola,,EIS,,VG,,Elite residential,,,,
Tortola,,EIS,,VG,,Elite residential,,,,
JW Marriott Hotel Ankara,,ESB,,TR,JW Marriott,Luxury Hotel,,,,
Lugal,,ESB,,TR,Luxury Collection Hotels,Luxury Hotel,,,,
Rosario Village,,ESD,,US,,Elite residential,,,,
Lofoten Islands,,EVE,,NO,,Adventure Tourism,,,,
The Alexander,,EVN,,AM,Luxury Collection Hotels,Luxury Hotel,,,,
Four Seasons NEW YORK,,EWR,New York,US,Four Seasons,Luxury Hotel,,,,
The Ritz-Carlton New York,,EWR,New York,US,Ritz-Carlton,Luxury Hotel,,,,
The Peninsula New York,,EWR,New York,US,The Peninsula,Luxury Hotel,,,,
"Short Hills, NJ",,EWR,,US,,Elite residential,,,,
TriBeCa,,EWR,New York,US,,Elite residential,,,,
Conrad New York Downtown,,EWR,New York City,US,,Luxury Hotel,,,,
Princeton University,,EWR,New York,US,,University,,,,
Key West,,EYW,,US,,Elite residential,,,,
Hyatt Centric Key West Resort & Spa,,EYW,Key West,US,,Luxury Hotel,,,,
Four Seasons BUENOS AIRES,,EZE,,AR,Four Seasons,Luxury Hotel,,,,
Park Tower,,EZE,,AR,Luxury Collection Hotels,Luxury Hotel,,,,
Puerto Madero,,EZE,,AR,,Elite residential,,,,
Recoleta,,EZE,,AR,,Elite residential,,,,
Park Hyatt Buenos Aires,,EZE,Buenos Aires,AR,,Luxury Hotel,,,,
Faena Hotel Buenos Aires,,EZE,,AR,Faena,Luxury Hotel,,,,
The Faroe Islands,,FAE,,FO,Remote and rugged landscapes with luxury accommodations and exclusive wildlife experiences.,Adventure Tourism,,,,
Pine Cliffs Ocean Suites,,FAO,,PT,Luxury Collection Hotels,Luxury Hotel,,,,
Conrad Algarve,,FAO,Faro,PT,,Luxury Hotel,,,,
Vila Vita Parc,,FAO,,,,Luxury Hotel,,,,
Yosemite National Park,,FAT,,US,,Adventure Tourism,,,,
Glacier National Park,,FCA,,US,,Adventure Tourism,,,,
Bulgari Hotel Roma,,FCO,,IT,Bulgari Hotel,Luxury Hotel,,,,
The Rome EDITION,,FCO,,IT,EDITION,Luxury Hotel,,,,
Palazzo Montemartini Rome,,FCO,Rome,it,Radisson Collection Hotel,Luxury Hotel,41.9037552,12.5003262,,
Six Senses ITALY,,FCO,,IT,Six Senses Resorts,Luxury Hotel,,,,
The St. Regis Rome,,FCO,,IT,St. Regis,Luxury Hotel,,,,
Parioli,,FCO,Rome,IT,,Elite residential,,,,
Parioli,,FCO,,IT,,Elite residential,,,,
Trastevere,,FCO,Rome,IT,,Elite residential,,,,
"Rome Cavalieri, A Waldorf Astoria Hotel",,FCO,Rome,IT,,Luxury Hotel,,,,
Fernando de Noronha,,FEN,,BR,A pristine archipelago off Brazil's northeast coast,Adventure Tourism,,,,
Brenners Park-Hotel & Spa,,FKB,,DE,Oetker Collection Hotels,Luxury Hotel,,,,
Auberge Beach Residences,,FLL,Fort Lauderdale,US,Auberge Resorts,Luxury Hotel,,,,
Shell Bay Club and Resort,,FLL,Fort Lauderdale,US,Auberge Resorts,Luxury Hotel,,,,
Four Seasons FORT LAUDERDALE,,FLL,Fort Lauderdale,US,Four Seasons,Luxury Hotel,,,,
JW Marriott Marquis Miami,,FLL,Fort Lauderdale,US,JW Marriott,Luxury Hotel,,,,
The Ritz-Carlton Bal Harbour,,FLL,Fort Lauderdale,US,Ritz-Carlton,Luxury Hotel,,,,
The Ritz-Carlton Coconut Grove,,FLL,Fort Lauderdale,US,Ritz-Carlton,Luxury Hotel,,,,
The Ritz-Carlton Fort Lauderdale,,FLL,Fort Lauderdale,US,Ritz-Carlton,Luxury Hotel,,,,
Windmill Ranch Estates,,FLL,Fort Lauderdale,,,Elite residential,,,,
Conrad Fort Lauderdale Beach,,FLL,Fort Lauderdale,US,,Luxury Hotel,,,,
Florianópolis,,FLN,,BR,,Elite residential,,,,
Collegio alla Querce,,FLR,Firenze,IT,Auberge Resorts,Luxury Hotel,,,,
COMO Castello Del Nero,,FLR,Firenze,IT,COMO,Luxury Hotel,,,,
Podere San Filippo,,FLR,Firenze,IT,COMO,Luxury Hotel,,,,
Four Seasons FLORENCE,,FLR,Firenze,IT,Four Seasons,Luxury Hotel,,,,
Palio di Siena,,FLR,"Siena, Italy",IT,"Historic, twice-yearly horse race held in the heart of Siena, with bareback riders representing different districts, filled with pageantry and tradition.",Elite Destination,,,,
Rosewood Castiglion del Bosco,,FLR,Firenze,IT,Rosewood Hotel,Luxury Hotel,,,,
The St. Regis Florence,,FLR,Firenze,IT,St. Regis,Luxury Hotel,,,,
Tuscan estates,,FLR,Firenze,IT,,Elite residential,,,,
Castello di Casole,,FLR,Firenze,IT,,Luxury Hotel,,,,
Villa San Michele,,FLR,Firenze,IT,,Luxury Hotel,,,,
Corte della Maestà,,FLR,Florence,IT,,Luxury Hotel,,,,
Belmond Villa San Michele,,FLR,Florence,IT,,Luxury Hotel,,,,
Belmond Castello di Casole,,FLR,Florence,IT,,Luxury Hotel,,,,
IL Tornabuoni Hotel,,FLR,Florence,IT,,Luxury Hotel,,,,
Hotel Helvetia & Bristol,,FLR,,,,Luxury Hotel,,,,
Reid's Palace,,FNC,,PT,,Luxury Hotel,,,,
Belmond Reid's Palace,,FNC,Funchal,PT,,Luxury Hotel,,,,
Shangri-La Fuzhou,,FOC,Fuzhou,CN,,26.0789,119.3031,,,
Brunfels Hotel,,FRA,,DE,Hyatt Unbound,Luxury Hotel,,,,
JW Marriott Hotel Frankfurt,,FRA,Frangford am Maa,DE,JW Marriott,Luxury Hotel,,,,
Prestigious countryside estates favored by affluent investors,,FRA,Frangford am Maa,DE,,Elite residential,,,,
Roche Harbor,,FRD,,US,,Elite residential,,,,
Bishkek,,FRU,,KG,,Elite residential,,,,
Tierra Patagonia,,FTE,,CL,,Luxury Hotel,,,,
The Ritz-Carlton Fukuoka,,FUK,,JP,Ritz-Carlton,Luxury Hotel,,,,
Sahara Desert,,GBE,,BW,,Adventure Tourism,,,,
The Ritz-Carlton Grand Cayman,,GCM,,KY,Ritz-Carlton,Luxury Hotel,,,,
Grand Cayman,,GCM,,KY,,Elite residential,,,,
Grand Canyon,,GCN,,US,,Adventure Tourism,,,,
JW Marriott Hotel Guadalajara,,GDL,,MX,JW Marriott,Luxury Hotel,,,,
Governor's Harbour,,GHB,,BS,,Elite residential,,,,
Ibitipoca,,GIG,,BR,,Luxury Hotel,,,,
Ilha Grande,,GIG,Rio de Janeiro,BR,A pristine island off the coast of Rio de Janeiro,Adventure Tourism,,,,
Angra dos Reis,,GIG,Rio de Janeiro,BR,A stunning coastal town near Rio de Janeiro,Elite residential,,,,
JW Marriott Hotel Rio de Janeiro,,GIG,Rio de Janeiro,BR,JW Marriott,Luxury Hotel,,,,
Ipanema,2,GIG,Rio de Janeiro,BR,,Elite residential,,,,
Copacabana Palace,,GIG,Rio de Janeiro,BR,,Luxury Hotel,,,,
Fasano Angra dos Reis,,GIG,Rio de Janeiro,BR,,Luxury Hotel,,,,
Fasano Rio de Janeiro,,GIG,Rio de Janeiro,BR,,Luxury Hotel,,,,
Belmond Copacabana Palace,,GIG,Rio de Janeiro,BR,,Luxury Hotel,,,,
Fairmont Rio de Janeiro Copacabana,,GIG,Rio de Janeiro,BR,,Luxury Hotel,-22.9687,-43.182,,
Fairmont Rio de Janeiro Copacabana,,GIG,,,,Luxury Hotel,,,,
Six Senses GRENADA,,GND,,GD,Six Senses Resorts,Luxury Hotel,,,,
Silversands Grenada,,GND,,,,Luxury Hotel,,,,
Splendido,,GOA,,IT,,Luxury Hotel,,,,
Splendido Mare,,GOA,,IT,,Luxury Hotel,,,,
Villa Sant'Andrea,,GOA,,IT,,Luxury Hotel,,,,
Belmond Hotel Splendido,,GOA,Genoa,IT,,Luxury Hotel,,,,
Belmond Splendido Mare,,GOA,Genoa,IT,,Luxury Hotel,,,,
Alila Diwa Goa,,GOA,Goa,IN,,Luxury Hotel,,,,
JW Marriott Goa,,GOI,,IN,JW Marriott,Luxury Hotel,,,,
The St. Regis Goa Resort,,GOI,,IN,St. Regis,Luxury Hotel,,,,
Galapagos,,GPS,,EC,,Adventure Tourism,,,,
São Paulo,,GR0,,BR,,Elite Residential,,,,
El Putxet i el Farró,,GRO,Barcelona,ES,,Elite residential,,,,
Sant Gervasi,,GRO,Barcelona,ES,,Elite residential,,,,
Brazilian GP,,GRU,,,Formula One race held at the Autódromo José Carlos Pace,Elite Destination,-23.70111,-46.69722,,
JW Marriott Hotel Sao Paulo,,GRU,São Paulo,BR,JW Marriott,Luxury Hotel,,,,
Palácio Tangará,,GRU,São Paulo,BR,Oetker Collection Hotels,Luxury Hotel,,,,
Jardins,,GRU,São Paulo,BR,Prestigious district with designer boutiques,Elite residential,,,,
Rosewood São Paulo,,GRU,São Paulo,BR,Rosewood Hotel,Luxury Hotel,,,,
Jardins,,GRU,São Paulo,BR,,Elite residential,,,,
Fasano Sao Paulo Itaim,,GRU,São Paulo,BR,,Luxury Hotel,,,,
Fasano Sao Paulo Jardins,,GRU,São Paulo,BR,,Luxury Hotel,,,,
Austrian GP,,GRZ,,,Formula One race held at the Red Bull Ring,Elite Destination,47.21972,14.76472,,
Four Seasons GENEVA,,GVA,Geneva,CH,Four Seasons,Luxury Hotel,,,,
Hotel President Wilson,,GVA,Geneva,CH,Luxury Collection Hotels,Luxury Hotel,,,,
Mandarin Oriental Geneva,,GVA,Geneva,CH,Mandarin Oriental,Luxury Hotel,,,,
The Woodward,,GVA,Geneva,CH,Oetker Collection Hotels,Luxury Hotel,,,,
Verbier,,GVA,Geneva,CH,Prestigious Swiss ski resort offering exclusive chalets,Luxury Hotel,,,,
The Ritz-Carlton Hotel de la Paix Geneva,,GVA,Geneva,CH,Ritz-Carlton,Luxury Hotel,,,,
